"机构名称(中文)"	"机构ID"	"notice_numb"	"notice_date"	"patent_name"
"中国西电电气股份有限公司"	"T000025764"	"CN101320647A"	"20081210"	"带快速接地开关的复合直角型隔离开关"
"中国西电电气股份有限公司"	"T000025764"	"CN101320647B"	"20120321"	"带快速接地开关的复合直角型隔离开关"
"中国西电电气股份有限公司"	"T000025764"	"CN101320648A"	"20081210"	"一种气体绝缘隔离开关装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101320648B"	"20120201"	"一种气体绝缘隔离开关装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101339221A"	"20090107"	"高压直流输电换流阀用电抗器伏－秒特性测试装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101339221B"	"20100623"	"高压直流输电换流阀用电抗器伏-秒特性测试装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101339846A"	"20090107"	"一种具有内部保护的自愈式电容器元件"
"中国西电电气股份有限公司"	"T000025764"	"CN101339846B"	"20110323"	"一种具有内部保护的自愈式电容器元件"
"沈阳机床股份有限公司"	"01000410"	"CN101342660A"	"20090114"	"车铣复合滑枕装置"
"东软集团股份有限公司"	"02600718"	"CN101344926A"	"20090114"	"潜在对象区域验证的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101344926B"	"20120425"	"潜在对象区域验证的方法和装置"
"金堆城钼业股份有限公司"	"03134603"	"CN101347839A"	"20090121"	"一种钼粉的纯化方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101348298A"	"20090121"	"一种废水快速除铬方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101348298B"	"20100623"	"一种废水快速除铬方法"
"西部金属材料股份有限公司"	"03133852"	"CN101352738A"	"20090128"	"一种制备薄壁钽材换热器U形管的装置"
"金堆城钼业股份有限公司"	"03134603"	"CN101352756A"	"20090128"	"一种高粉末松装密度低氧含量钼粉的制备方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101352758A"	"20090128"	"一种制取低钾钼粉的方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101352759A"	"20090128"	"一种制取特种钼粉的方法"
"西部金属材料股份有限公司"	"03133852"	"CN101352787A"	"20090128"	"一种钛基钎料的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101352787B"	"20110126"	"一种钛基钎料及其制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101352803A"	"20090128"	"一种硫酸蒸发器钽材加热管束的安装方法"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101353581A"	"20090128"	"一种湿式除尘高炉煤气能量回收透平装置专用阻垢剂"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101353581B"	"20120530"	"一种湿式除尘高炉煤气能量回收透平装置专用阻垢剂"
"西部金属材料股份有限公司"	"03133852"	"CN101353727A"	"20090128"	"回收银铜合金废料中银铜的方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101353885A"	"20090128"	"一种尾矿库的填筑方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101353885B"	"20100421"	"一种尾矿库的填筑方法"
"西部金属材料股份有限公司"	"03133852"	"CN101354326A"	"20090128"	"一种观察钨材料产品显微组织的方法"
"西部金属材料股份有限公司"	"03133852"	"CN101354326B"	"20110504"	"一种观察钨材料产品显微组织的方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101354331A"	"20090128"	"一种钼合金丝中第二相粒子的检测方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101354936A"	"20090128"	"一种氧化锌电阻片用添加物的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101354936B"	"20100929"	"一种氧化锌电阻片用添加物的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101358325A"	"20090204"	"一种深冲钼带的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101362204A"	"20090211"	"一种轧制板材用钨坯的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101362204B"	"20100609"	"一种轧制板材用钨坯的制备方法"
"西部金属材料股份有限公司"	"03133852"	"CN101362234A"	"20090211"	"一种慢走丝切割薄钨器件的方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101367614A"	"20090218"	"一种用于非线性电阻片侧面高阻层的滚釉涂料及其制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101367614B"	"20110504"	"一种用于非线性电阻片侧面高阻层的滚釉涂料及其制备方法"
"东软集团股份有限公司"	"02600718"	"CN101373515A"	"20090225"	"道路区域检测方法及系统"
"东软集团股份有限公司"	"02600718"	"CN101373515B"	"20100818"	"道路区域检测方法及系统"
"东软集团股份有限公司"	"02600718"	"CN101373541A"	"20090225"	"医学图像体绘制方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101373541B"	"20100915"	"医学图像体绘制方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101378538A"	"20090304"	"一种群发消息处理方法及系统"
"东软集团股份有限公司"	"02600718"	"CN101378538B"	"20120418"	"一种群发消息处理方法及系统"
"中国西电电气股份有限公司"	"T000025764"	"CN101381883A"	"20090311"	"铝合金缸体类零件内表面硬氧化工艺"
"中国西电电气股份有限公司"	"T000025764"	"CN101387487A"	"20090318"	"异形导体零件尺寸测量方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101387487B"	"20100602"	"异形导体零件尺寸测量方法"
"东软集团股份有限公司"	"02600718"	"CN101387958A"	"20090318"	"一种图像数据的处理方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101387958B"	"20110615"	"一种图像数据的处理方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101387959A"	"20090318"	"一种构建物理工程逻辑结构的方法和装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101388284A"	"20090318"	"一种GIS用电流互感器"
"东软集团股份有限公司"	"02600718"	"CN101388844A"	"20090318"	"一种数据流程的处理方法和系统"
"东软集团股份有限公司"	"02600718"	"CN101388844B"	"20120314"	"一种数据流程的处理方法和系统"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101392378A"	"20090325"	"一种干式除尘高炉煤气能量回收透平装置专用阻垢剂"
"西安陕鼓动力股份有限公司"	"T000026927"	"CN101392378B"	"20120125"	"一种干式除尘高炉煤气能量回收透平装置专用阻垢剂"
"沈阳兴齐眼药股份有限公司"	"T000060171"	"CN101396361B"	"20130403"	"用于延缓白内障进展的含有左旋肌肽的药物组合物"
"金堆城钼业股份有限公司"	"03134603"	"CN101402117A"	"20090408"	"一种金属钼器皿的加工方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101403782A"	"20090408"	"一种用于超/特高压断路器开断端子短路故障试验回路"
"东软集团股份有限公司"	"02600718"	"CN101404117A"	"20090408"	"交通标志识别方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101404117B"	"20110209"	"交通标志识别方法及装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101404393A"	"20090408"	"高压开关设备用进出线充气套管"
"中国西电电气股份有限公司"	"T000025764"	"CN101404393B"	"20101222"	"高压开关设备用进出线充气套管"
"东软集团股份有限公司"	"02600718"	"CN101404737A"	"20090408"	"利用蓝牙模块转发CMMB信号的装置及其控制方法"
"东软集团股份有限公司"	"02600718"	"CN101404737B"	"20100728"	"利用蓝牙模块转发CMMB信号的装置及其控制方法"
"东软集团股份有限公司"	"02600718"	"CN101408977A"	"20090415"	"一种分割候选障碍物区域的方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101408977B"	"20120418"	"一种分割候选障碍物区域的方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101408978A"	"20090415"	"一种基于单目视觉的障碍物检测方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101408978B"	"20101201"	"一种基于单目视觉的障碍物检测方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101414355A"	"20090422"	"从图像中分割车辆感兴趣区域的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101414355B"	"20130313"	"从图像中分割车辆感兴趣区域的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101419667A"	"20090429"	"识别图像中障碍物的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101419667B"	"20101208"	"识别图像中障碍物的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101419711A"	"20090429"	"一种估计车辆自运动参数的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101419711B"	"20120530"	"一种估计车辆自运动参数的方法和装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101429419A"	"20090513"	"一种±800KV直流支柱绝缘子用粘合剂及其使用方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429846A"	"20090513"	"一种液压承载行走装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429846B"	"20100915"	"一种液压承载行走装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429855A"	"20090513"	"一种油管和抽油杆的甩管装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429855B"	"20101124"	"一种油管和抽油杆的甩管装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429858A"	"20090513"	"一种油田井口卡座"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101429858B"	"20100915"	"一种油田井口卡座"
"中国西电电气股份有限公司"	"T000025764"	"CN101430954A"	"20090513"	"一种复合绝缘子硅橡胶护套的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101430954B"	"20110810"	"一种复合绝缘子硅橡胶护套的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101434822A"	"20090520"	"一种瓷芯复合支柱绝缘子用粘合剂的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101434822B"	"20120523"	"一种瓷芯复合支柱绝缘子用粘合剂的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101435839A"	"20090520"	"一种电力电子装置光触发脉冲的监测方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101435839B"	"20110914"	"一种电力电子装置光触发脉冲的监测方法"
"东软集团股份有限公司"	"02600718"	"CN101436195A"	"20090520"	"在Web用户界面中生成资源访问入口的方法及系统"
"东软集团股份有限公司"	"02600718"	"CN101436253A"	"20090520"	"一种用于验证车辆感兴趣区域的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101436253B"	"20120425"	"一种用于验证车辆感兴趣区域的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101436300A"	"20090520"	"障碍物分割方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101436300B"	"20121031"	"障碍物分割方法及装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101436456A"	"20090520"	"一种氧化锌电阻片的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101436456B"	"20110323"	"一种氧化锌电阻片的制备方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101436487A"	"20090520"	"一种真空灭弧室"
"中国西电电气股份有限公司"	"T000025764"	"CN101439975A"	"20090527"	"一种电瓷烧成方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101439975B"	"20111109"	"一种电瓷烧成方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101439989A"	"20090527"	"一种灰蓝釉的原料配比及其烧制方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101439989B"	"20121121"	"一种灰蓝釉的烧制方法"
"东软集团股份有限公司"	"02600718"	"CN101441076A"	"20090527"	"一种检测障碍物的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101441076B"	"20100602"	"一种检测障碍物的方法和装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101442283A"	"20090527"	"一种基于DSP的双电机同步伺服驱动装置"
"东软集团股份有限公司"	"02600718"	"CN101447040A"	"20090603"	"设置流程实例约束的方法和装置、流程实例约束修改系统"
"东软集团股份有限公司"	"02600718"	"CN101447078A"	"20090603"	"一种障碍物分割方法及装置"
"东软集团股份有限公司"	"02600718"	"CN101447078B"	"20110615"	"一种障碍物分割方法及装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101447262A"	"20090603"	"电器引线复合绝缘套管"
"中兴通讯股份有限公司"	"01000063"	"CN101448046A"	"20090603"	"一种实现单对话彩铃业务的呼叫建立方法"
"中兴通讯股份有限公司"	"01000063"	"CN101448046B"	"20101208"	"一种实现单对话彩铃业务的呼叫建立方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101451256A"	"20090610"	"一种铝合金导体表面银层的刷镀方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101451256B"	"20100929"	"一种铝合金导体表面银层的刷镀方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101452045A"	"20090610"	"一种高压直流输电换流阀运行试验的合成方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101452045B"	"20101222"	"一种高压直流输电换流阀运行试验的合成方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101452286A"	"20090610"	"基于CAN总线的步进电机驱动装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101452286B"	"20101215"	"基于CAN总线的步进电机驱动装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101453136A"	"20090610"	"一种GIS间隔控制信号传输装置及其信号传输方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101453136B"	"20110504"	"一种GIS间隔控制信号传输装置及其信号传输方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101458266A"	"20090617"	"一种高压直流输电晶闸管阀运行试验用电压源"
"中国西电电气股份有限公司"	"T000025764"	"CN101458266B"	"20110810"	"一种高压直流输电晶闸管阀运行试验用电压源"
"中国西电电气股份有限公司"	"T000025764"	"CN101458307A"	"20090617"	"一种高压断路器合成试验中电压引入用同步控制装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101458307B"	"20110504"	"一种高压断路器合成试验中电压引入用同步控制装置"
"东软集团股份有限公司"	"02600718"	"CN101458814A"	"20090617"	"一种用于从图像中分割对象感兴趣区域的方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101458814B"	"20120201"	"一种用于从图像中分割对象感兴趣区域的方法和装置"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101469424A"	"20090701"	"高热导率基体激光熔覆加工方法及所用系统"
"东软集团股份有限公司"	"02600718"	"CN101469992A"	"20090701"	"车辆导航的处理方法、装置及车辆导航系统"
"东软集团股份有限公司"	"02600718"	"CN101469992B"	"20130313"	"车辆导航的处理方法、装置及车辆导航系统"
"东软集团股份有限公司"	"02600718"	"CN101470806A"	"20090701"	"车灯检测方法和装置、感兴趣区域分割方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101470806B"	"20120627"	"车灯检测方法和装置、感兴趣区域分割方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101477629A"	"20090708"	"车道线的感兴趣区域提取方法和装置"
"东软集团股份有限公司"	"02600718"	"CN101477629B"	"20120111"	"车道线的感兴趣区域提取方法和装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101480826A"	"20090715"	"一种绝缘盆子浇注模结构及脱模方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101480826B"	"20101229"	"一种绝缘盆子浇注模结构及脱模方法"
"沈阳新松机器人自动化股份有限公司"	"03150154"	"CN101487878A"	"20090722"	"自动导引车电量检测装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101499368A"	"20090805"	"一种变压器上铁轭的夹紧装置及夹紧方法"
"中国西电电气股份有限公司"	"T000025764"	"CN101499368B"	"20110323"	"一种变压器上铁轭的夹紧装置及夹紧方法"
"西部金属材料股份有限公司"	"03133852"	"CN101503802A"	"20090812"	"一种提高有色金属管件耐腐蚀性能的方法"
"金堆城钼业股份有限公司"	"03134603"	"CN101507944A"	"20090819"	"磨矿螺旋分级机下轴头支承与密封装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101515014A"	"20090826"	"一种检测开关设备配套控制柜的模拟装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101515014B"	"20110119"	"一种检测开关设备配套控制柜的模拟装置"
"沈阳兴齐眼药股份有限公司"	"T000060171"	"CN101518547B"	"20130130"	"含有小牛血去蛋白提取物眼用制剂组合物"
"中国西电电气股份有限公司"	"T000025764"	"CN101521090A"	"20090902"	"一种电抗器铁心压紧工艺及压紧装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101521090B"	"20110119"	"一种电抗器铁心压紧工艺及压紧装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101527431A"	"20090909"	"一种超/特高压GIS用隔离装置"
"中国西电电气股份有限公司"	"T000025764"	"CN101527431B"	"20101229"	"一种超/特高压GIS用隔离装置"
"西安标准工业股份有限公司"	"02600302"	"CN101532216A"	"20090916"	"自动叠料机"
"西安标准工业股份有限公司"	"02600302"	"CN101532216B"	"20120704"	"自动叠料机"
"西安标准工业股份有限公司"	"02600302"	"CN101532223A"	"20090916"	"一种包缝机缝纫自动剪辫装置及工作方法"
