39832	12	13	13	31	12	16	33	18	39	10	30	38	32	2	1	17	40	26	28	6	35	15	37	8	0	36	9	4	22	14	42	34	25	21	7	27	5	3	23	
40145	12	13	16	18	12	13	31	39	1	38	15	30	33	10	17	2	32	28	40	37	0	42	26	25	4	5	8	6	35	23	22	21	14	36	27	3	34	7	9	
39270	12	40	40	39	37	38	42	17	31	16	1	2	26	33	28	10	18	12	15	41	4	22	30	0	35	3	13	21	25	27	6	23	14	32	19	8	34	36	7	
39270	12	39	39	38	40	37	42	17	31	16	1	2	26	33	28	10	18	12	15	41	4	22	30	0	35	3	13	21	25	27	6	23	14	32	19	8	34	36	7	
39713	12	39	39	38	40	2	17	1	42	28	16	31	37	26	4	0	33	18	10	12	22	13	15	27	3	25	36	21	30	35	23	19	41	29	6	8	14	34	32	
39270	12	37	38	42	17	31	16	37	1	2	26	33	39	40	28	10	18	12	15	41	4	22	30	0	35	3	13	21	25	27	6	23	14	32	19	8	34	36	7	
39713	12	40	38	40	39	2	17	1	42	28	16	31	37	26	4	0	33	18	10	12	22	13	15	27	3	25	36	21	30	35	23	19	41	29	6	8	14	34	32	
40523	12	13	13	12	16	31	18	33	28	17	1	2	10	26	30	0	25	3	32	22	39	9	35	38	27	6	4	8	19	7	23	36	21	37	15	14	34	40	5	
40323	12	40	40	39	38	42	17	37	16	1	31	2	10	28	18	26	12	41	33	21	22	4	13	15	0	30	8	35	23	25	3	6	14	7	19	27	36	5	32	
40323	12	39	39	40	38	42	17	37	16	1	31	2	10	28	18	26	12	41	33	21	22	4	13	15	0	30	8	35	23	25	3	6	14	7	19	27	36	5	32	
40323	12	38	38	40	39	42	17	37	16	1	31	2	10	28	18	26	12	41	33	21	22	4	13	15	0	30	8	35	23	25	3	6	14	7	19	27	36	5	32	
