344	100
0	55
346	216
347	393
340	269
341	358
342	324
343	379
348	413
349	31
298	311
299	329
296	449
297	333
294	26
295	356
292	363
293	341
290	227
291	11
199	83
198	375
195	340
194	315
197	46
196	378
191	231
190	292
193	389
192	139
270	346
271	239
272	270
273	145
274	265
275	56
276	372
277	307
278	65
279	428
449	494
448	420
443	29
442	178
441	171
440	442
447	478
446	327
445	464
444	339
108	243
109	159
102	153
103	8
100	3
101	273
106	131
107	121
104	133
105	262
39	38
38	18
33	285
32	64
31	240
30	194
37	113
36	190
35	377
34	0
438	331
439	414
436	294
437	499
434	318
435	349
432	143
433	37
430	495
431	246
339	374
338	465
335	312
334	438
337	221
336	202
331	426
330	368
333	192
332	41
345	419
6	9
99	326
98	103
91	191
90	387
93	423
92	237
95	280
94	166
97	147
96	108
238	271
239	62
234	366
235	12
236	109
237	125
230	304
231	369
232	376
233	266
1	152
146	456
147	43
144	355
145	251
142	400
143	406
140	185
141	84
148	342
149	441
133	99
132	367
131	253
130	236
137	32
136	276
135	343
134	85
494	188
495	486
139	199
138	175
490	472
491	124
492	104
493	451
24	155
25	132
26	21
27	325
20	80
21	306
22	162
23	53
28	45
29	2
407	250
406	225
405	470
404	257
403	444
402	480
401	337
400	90
409	386
408	462
379	277
378	439
371	390
370	334
373	446
372	460
375	92
374	445
377	144
376	275
393	230
392	264
391	52
390	291
397	392
396	388
395	344
394	404
82	4
83	49
399	286
398	140
86	40
87	180
84	102
85	167
7	224
245	284
244	197
247	208
246	394
241	210
240	39
243	44
242	168
249	282
248	260
458	330
459	475
450	437
451	300
452	360
453	263
454	129
455	489
456	427
457	496
179	233
178	440
177	181
176	473
175	242
174	28
173	96
172	234
171	93
170	70
182	396
183	35
180	244
2	117
186	293
187	228
184	42
185	365
188	259
189	359
11	106
10	212
13	33
12	310
15	218
14	193
17	182
16	7
19	34
18	19
322	203
323	136
320	196
321	353
326	116
327	229
324	98
325	491
328	223
329	411
201	87
200	161
203	73
202	163
205	247
204	177
207	63
206	382
209	410
208	272
77	22
76	176
75	68
74	24
73	66
72	58
71	60
70	248
79	71
78	95
8	156
120	217
121	274
122	149
123	320
124	115
125	174
126	170
127	82
128	61
129	160
414	468
415	138
416	448
417	50
410	371
411	254
412	485
413	467
498	308
418	407
419	490
499	461
319	416
318	457
313	249
312	463
311	148
310	119
317	484
316	466
315	205
314	10
496	425
497	474
3	173
368	74
369	226
366	453
367	403
364	469
365	455
362	48
363	483
360	443
361	206
380	314
381	146
382	268
383	57
384	436
385	380
386	78
387	112
388	298
389	361
252	114
60	220
61	27
62	302
259	127
64	370
65	213
66	23
67	54
68	154
253	278
250	321
251	14
256	118
257	402
254	67
255	279
469	487
468	398
465	447
464	373
467	303
466	476
461	134
460	385
463	338
462	107
168	319
169	290
164	401
165	77
166	395
167	187
160	86
161	232
162	36
163	481
9	75
357	433
356	195
355	493
354	241
353	362
352	179
351	209
350	459
359	51
358	305
216	345
217	412
214	309
215	289
212	200
213	295
210	222
211	283
218	408
219	421
289	332
288	123
4	89
281	59
280	399
283	20
282	5
285	435
284	69
287	417
286	430
263	130
262	452
261	384
260	328
267	397
266	219
265	79
264	432
269	297
268	348
59	120
58	142
55	214
54	135
57	313
56	165
51	211
258	215
53	1
52	13
63	110
50	424
115	88
114	128
117	288
116	281
111	381
110	186
113	255
69	172
119	81
118	72
429	454
428	261
421	364
420	183
423	434
422	351
425	316
424	409
427	471
426	126
308	235
309	198
300	354
301	350
302	245
303	287
304	458
305	201
306	405
307	158
181	335
229	169
228	323
227	258
226	76
225	317
224	111
223	17
222	422
221	352
220	256
88	151
89	296
151	207
150	30
153	101
152	336
155	25
154	347
157	204
156	164
159	429
158	157
112	322
80	299
81	141
48	94
49	122
46	238
47	137
44	184
45	252
42	47
43	6
40	267
41	189
5	301
489	497
488	91
487	482
486	105
485	16
484	477
483	97
482	488
481	498
480	418
472	357
473	391
470	479
471	450
476	415
477	15
474	492
475	431
478	383
479	150
