tensor(-11.4295)	tensor(-11.5956)	tensor(-12.1107)	tensor(-11.5719)	tensor(-12.0610)	tensor(-12.6186)	tensor(-13.3455)	tensor(-12.9362)	tensor(-12.9153)	tensor(-14.6995)	tensor(-13.0400)	tensor(-12.4116)	tensor(-11.2051)	tensor(-12.2406)	tensor(-13.2653)	tensor(-13.6712)	tensor(-11.6370)	tensor(-11.9820)	tensor(-11.0838)	tensor(-12.1687)	tensor(-13.9097)	tensor(-11.8124)	tensor(-11.3007)	tensor(-11.9157)	tensor(-14.0848)	tensor(-11.7853)	tensor(-11.1692)	tensor(-11.4823)	tensor(-12.0441)	tensor(-12.3855)	tensor(-11.8078)	tensor(-12.5176)	tensor(-13.0331)	tensor(-12.5456)	tensor(-13.4490)	tensor(-13.7880)	tensor(-13.5926)	tensor(-14.2461)	tensor(-12.2444)	tensor(-13.5570)	
tensor(-10.7018)	tensor(-10.0306)	tensor(-10.2594)	tensor(-11.6679)	tensor(-10.8617)	tensor(-9.4348)	tensor(-9.7097)	tensor(-6.6527)	tensor(-10.0655)	tensor(-9.7581)	tensor(-7.2848)	tensor(-9.6507)	tensor(-5.6527)	tensor(-6.4231)	tensor(-10.6266)	tensor(-9.8668)	tensor(-7.4374)	tensor(-10.3708)	tensor(-7.5806)	tensor(-10.5874)	tensor(-11.2943)	tensor(-10.8701)	tensor(-10.4191)	tensor(-12.1691)	tensor(-12.9399)	tensor(-10.6073)	tensor(-9.8001)	tensor(-10.1576)	tensor(-11.4786)	tensor(-9.9836)	tensor(-9.1396)	tensor(-7.6154)	tensor(-8.8697)	tensor(-7.2515)	tensor(-10.3872)	tensor(-9.0576)	tensor(-9.2594)	tensor(-12.0511)	tensor(-10.8192)	tensor(-11.9012)	
tensor(-10.7018)	tensor(-10.0306)	tensor(-10.2594)	tensor(-11.6679)	tensor(-10.8617)	tensor(-9.4348)	tensor(-9.7097)	tensor(-8.0909)	tensor(-10.0655)	tensor(-9.7581)	tensor(-7.2848)	tensor(-9.6507)	tensor(-9.0909)	tensor(-6.4231)	tensor(-10.6266)	tensor(-9.8668)	tensor(-7.4374)	tensor(-10.3708)	tensor(-7.5806)	tensor(-10.5874)	tensor(-11.2943)	tensor(-10.8701)	tensor(-10.4191)	tensor(-12.1691)	tensor(-12.9399)	tensor(-10.6073)	tensor(-9.8001)	tensor(-10.1576)	tensor(-11.4786)	tensor(-9.9836)	tensor(-9.1396)	tensor(-7.6154)	tensor(-8.8697)	tensor(-7.2515)	tensor(-10.3872)	tensor(-9.0576)	tensor(-9.2594)	tensor(-12.0511)	tensor(-10.8192)	tensor(-11.9012)	
tensor(-4.0987)	tensor(-1.5871)	tensor(-5.1836)	tensor(-3.1309)	tensor(-1.0564)	tensor(-9.0496)	tensor(-9.7049)	tensor(-10.5485)	tensor(-9.7713)	tensor(-10.8471)	tensor(-10.1533)	tensor(-9.1866)	tensor(-7.7982)	tensor(-8.4661)	tensor(-11.8728)	tensor(-10.3414)	tensor(-8.4256)	tensor(-6.8428)	tensor(-7.4104)	tensor(-3.7618)	tensor(-10.9270)	tensor(-9.1684)	tensor(-5.7394)	tensor(-1.9485)	tensor(-4.2012)	tensor(-1.3153)	tensor(-4.1618)	tensor(-1.8610)	tensor(-2.2399)	tensor(-2.0564)	tensor(-8.6710)	tensor(-7.7036)	tensor(-8.8624)	tensor(-8.5490)	tensor(-9.6470)	tensor(-9.0109)	tensor(-8.7903)	tensor(-10.8176)	tensor(-8.5059)	tensor(-10.6915)	
tensor(-5.2781)	tensor(-2.7810)	tensor(-5.7581)	tensor(-3.4686)	tensor(-0.2067)	tensor(-10.0946)	tensor(-10.8099)	tensor(-11.7895)	tensor(-10.5234)	tensor(-12.2848)	tensor(-10.8760)	tensor(-9.8998)	tensor(-9.8843)	tensor(-9.6895)	tensor(-11.9656)	tensor(-10.5570)	tensor(-9.3119)	tensor(-7.9947)	tensor(-7.9456)	tensor(-4.4157)	tensor(-12.1220)	tensor(-10.4711)	tensor(-5.0297)	tensor(0.1442)	tensor(-2.8189)	tensor(-1.2067)	tensor(-4.5358)	tensor(-1.1481)	tensor(-2.5476)	tensor(-0.0348)	tensor(-9.7165)	tensor(-8.2683)	tensor(-9.4596)	tensor(-8.4734)	tensor(-10.8309)	tensor(-9.5009)	tensor(-9.6161)	tensor(-11.7201)	tensor(-9.8224)	tensor(-11.5306)	
tensor(-4.8334)	tensor(-1.7167)	tensor(-3.0101)	tensor(-2.5308)	tensor(-4.0101)	tensor(-9.9968)	tensor(-10.1630)	tensor(-11.0851)	tensor(-11.1683)	tensor(-11.7072)	tensor(-10.6888)	tensor(-9.8273)	tensor(-8.4046)	tensor(-9.1683)	tensor(-10.6631)	tensor(-10.8487)	tensor(-9.2158)	tensor(-7.2289)	tensor(-8.2203)	tensor(-5.4649)	tensor(-11.8759)	tensor(-9.9296)	tensor(-6.8071)	tensor(-3.7649)	tensor(-4.8229)	tensor(-3.3507)	tensor(-6.1978)	tensor(-5.1837)	tensor(-4.0616)	tensor(-4.3233)	tensor(-9.9575)	tensor(-8.8409)	tensor(-9.8809)	tensor(-9.5385)	tensor(-10.7447)	tensor(-9.6305)	tensor(-9.7658)	tensor(-11.3149)	tensor(-9.9915)	tensor(-11.1191)	
tensor(-4.8334)	tensor(-1.7167)	tensor(-3.3211)	tensor(-2.5308)	tensor(-2.3211)	tensor(-9.9968)	tensor(-10.1630)	tensor(-11.0851)	tensor(-11.1683)	tensor(-11.7072)	tensor(-10.6888)	tensor(-9.8273)	tensor(-8.4046)	tensor(-9.1683)	tensor(-10.6631)	tensor(-10.8487)	tensor(-9.2158)	tensor(-7.2289)	tensor(-8.2203)	tensor(-5.4649)	tensor(-11.8759)	tensor(-9.9296)	tensor(-6.8071)	tensor(-3.7649)	tensor(-4.8229)	tensor(-3.3507)	tensor(-6.1978)	tensor(-5.1837)	tensor(-4.0616)	tensor(-4.3233)	tensor(-9.9575)	tensor(-8.8409)	tensor(-9.8809)	tensor(-9.5385)	tensor(-10.7447)	tensor(-9.6305)	tensor(-9.7658)	tensor(-11.3149)	tensor(-9.9915)	tensor(-11.1191)	
tensor(-3.9548)	tensor(-2.6494)	tensor(-5.1640)	tensor(-3.0618)	tensor(-1.6494)	tensor(-9.5344)	tensor(-10.2912)	tensor(-10.3072)	tensor(-9.9171)	tensor(-11.6732)	tensor(-10.5508)	tensor(-9.9048)	tensor(-8.5166)	tensor(-8.9031)	tensor(-10.1909)	tensor(-10.9221)	tensor(-8.4071)	tensor(-6.6208)	tensor(-7.2366)	tensor(-4.3457)	tensor(-10.5242)	tensor(-9.6626)	tensor(-5.4403)	tensor(-2.7439)	tensor(-5.0314)	tensor(-1.9053)	tensor(-3.8654)	tensor(-2.2078)	tensor(-2.6494)	tensor(-2.6494)	tensor(-9.0751)	tensor(-7.5219)	tensor(-9.5349)	tensor(-8.7764)	tensor(-9.8322)	tensor(-8.7221)	tensor(-9.3691)	tensor(-10.6633)	tensor(-8.6157)	tensor(-9.8840)	
tensor(-5.2128)	tensor(-1.5036)	tensor(-6.2757)	tensor(-3.9482)	tensor(-2.6112)	tensor(-8.8164)	tensor(-10.4026)	tensor(-11.5863)	tensor(-10.4843)	tensor(-11.6008)	tensor(-10.3351)	tensor(-9.3578)	tensor(-8.5400)	tensor(-9.2921)	tensor(-11.2332)	tensor(-10.7620)	tensor(-9.3433)	tensor(-7.3517)	tensor(-7.2343)	tensor(-4.4012)	tensor(-10.5486)	tensor(-8.9108)	tensor(-4.8927)	tensor(-2.5036)	tensor(-4.6996)	tensor(-0.1557)	tensor(-6.3553)	tensor(-2.1021)	tensor(-5.5122)	tensor(-5.2032)	tensor(-8.9992)	tensor(-8.0981)	tensor(-7.9181)	tensor(-8.0519)	tensor(-10.1859)	tensor(-8.8788)	tensor(-8.5667)	tensor(-10.1527)	tensor(-9.4795)	tensor(-11.0179)	
tensor(-3.9548)	tensor(-1.6698)	tensor(-5.1640)	tensor(-3.0618)	tensor(-2.6698)	tensor(-9.5344)	tensor(-10.2912)	tensor(-10.3072)	tensor(-9.9171)	tensor(-11.6732)	tensor(-10.5508)	tensor(-9.9048)	tensor(-8.5166)	tensor(-8.9031)	tensor(-10.1909)	tensor(-10.9221)	tensor(-8.4071)	tensor(-6.6208)	tensor(-7.2366)	tensor(-4.3457)	tensor(-10.5242)	tensor(-9.6626)	tensor(-5.4403)	tensor(-2.7439)	tensor(-5.0314)	tensor(-1.9053)	tensor(-3.8654)	tensor(-2.2078)	tensor(-2.6698)	tensor(-2.6698)	tensor(-9.0751)	tensor(-7.5219)	tensor(-9.5349)	tensor(-8.7764)	tensor(-9.8322)	tensor(-8.7221)	tensor(-9.3691)	tensor(-10.6633)	tensor(-8.6157)	tensor(-9.8840)	
tensor(-7.5884)	tensor(-5.9356)	tensor(-7.8226)	tensor(-7.6079)	tensor(-6.3366)	tensor(-11.5432)	tensor(-10.5570)	tensor(-11.6887)	tensor(-11.6262)	tensor(-13.0287)	tensor(-11.4620)	tensor(-10.8851)	tensor(-9.6461)	tensor(-11.0641)	tensor(-12.2378)	tensor(-11.1259)	tensor(-10.0757)	tensor(-8.7239)	tensor(-8.1926)	tensor(-5.6817)	tensor(-12.7140)	tensor(-11.1427)	tensor(-8.0255)	tensor(-4.7381)	tensor(-7.6463)	tensor(-4.8932)	tensor(-6.1419)	tensor(-2.2130)	tensor(-2.6724)	tensor(-2.2807)	tensor(-9.8286)	tensor(-9.1624)	tensor(-9.7124)	tensor(-9.1807)	tensor(-11.0428)	tensor(-10.8543)	tensor(-9.9829)	tensor(-12.0273)	tensor(-10.6444)	tensor(-12.7035)	
