tensor(-10.3744)	tensor(-10.5488)	tensor(-10.5015)	tensor(-11.4081)	tensor(-10.5200)	tensor(-10.4816)	tensor(-8.4092)	tensor(-9.1133)	tensor(-10.0132)	tensor(-10.5775)	tensor(-8.6940)	tensor(-8.9128)	tensor(-6.4034)	tensor(-7.7309)	tensor(-7.5746)	tensor(-9.5927)	tensor(-5.0202)	tensor(-9.3095)	tensor(-8.2262)	tensor(-10.8287)	tensor(-12.7066)	tensor(-10.9387)	tensor(-9.7611)	tensor(-10.5087)	tensor(-12.5639)	tensor(-10.1884)	tensor(-8.9228)	tensor(-10.6158)	tensor(-9.6450)	tensor(-9.8682)	tensor(-8.7034)	tensor(-7.0839)	tensor(-8.8912)	tensor(-7.8766)	tensor(-10.5839)	tensor(-9.6652)	tensor(-8.7189)	tensor(-11.4349)	tensor(-10.4690)	tensor(-10.9020)	
tensor(-9.7211)	tensor(-10.3125)	tensor(-9.4296)	tensor(-10.8480)	tensor(-10.5377)	tensor(-8.9244)	tensor(-6.6540)	tensor(-8.5765)	tensor(-9.0853)	tensor(-9.5374)	tensor(-3.6924)	tensor(-8.2260)	tensor(-6.0066)	tensor(-6.8965)	tensor(-7.4171)	tensor(-8.2669)	tensor(-6.2814)	tensor(-7.6306)	tensor(-7.8292)	tensor(-8.9657)	tensor(-11.6556)	tensor(-9.5023)	tensor(-8.8325)	tensor(-10.4163)	tensor(-11.9327)	tensor(-10.1789)	tensor(-8.4373)	tensor(-9.0121)	tensor(-9.6836)	tensor(-9.7166)	tensor(-8.5020)	tensor(-6.7837)	tensor(-9.0223)	tensor(-7.1854)	tensor(-10.9400)	tensor(-9.2134)	tensor(-8.6121)	tensor(-9.2447)	tensor(-9.0658)	tensor(-10.0790)	
tensor(-12.3250)	tensor(-12.1232)	tensor(-12.4698)	tensor(-12.9618)	tensor(-12.4897)	tensor(-12.5265)	tensor(-12.6141)	tensor(-12.4594)	tensor(-12.6917)	tensor(-14.6153)	tensor(-13.5547)	tensor(-12.1313)	tensor(-10.2506)	tensor(-12.0027)	tensor(-12.5172)	tensor(-12.5142)	tensor(-11.2694)	tensor(-10.2299)	tensor(-10.6883)	tensor(-11.7218)	tensor(-13.2959)	tensor(-12.1550)	tensor(-11.7868)	tensor(-12.0591)	tensor(-14.2969)	tensor(-12.6507)	tensor(-10.7208)	tensor(-11.7219)	tensor(-11.6760)	tensor(-12.3190)	tensor(-10.7869)	tensor(-10.5391)	tensor(-12.5489)	tensor(-10.1944)	tensor(-12.9914)	tensor(-12.0887)	tensor(-11.7240)	tensor(-11.7280)	tensor(-12.5267)	tensor(-12.7571)	
tensor(-10.3270)	tensor(-9.9376)	tensor(-10.1885)	tensor(-11.2962)	tensor(-11.5164)	tensor(-10.9239)	tensor(-9.9768)	tensor(-10.6425)	tensor(-10.3767)	tensor(-12.6148)	tensor(-10.5073)	tensor(-10.1794)	tensor(-8.8854)	tensor(-9.4905)	tensor(-9.7148)	tensor(-8.8734)	tensor(-9.5442)	tensor(-8.6851)	tensor(-9.0598)	tensor(-9.8182)	tensor(-12.2743)	tensor(-10.6756)	tensor(-9.4429)	tensor(-10.9088)	tensor(-12.9905)	tensor(-11.2513)	tensor(-8.6836)	tensor(-9.9066)	tensor(-9.7520)	tensor(-10.5258)	tensor(-9.8800)	tensor(-8.7606)	tensor(-9.7990)	tensor(-9.7384)	tensor(-11.3691)	tensor(-10.7028)	tensor(-10.1496)	tensor(-8.8350)	tensor(-4.1544)	tensor(-5.1544)	
tensor(-10.1799)	tensor(-10.4602)	tensor(-10.8482)	tensor(-11.4792)	tensor(-11.0044)	tensor(-11.6030)	tensor(-10.8443)	tensor(-12.2800)	tensor(-11.1924)	tensor(-13.3894)	tensor(-11.6339)	tensor(-11.0419)	tensor(-9.1367)	tensor(-10.1766)	tensor(-10.0813)	tensor(-9.9499)	tensor(-9.4802)	tensor(-8.7778)	tensor(-9.6634)	tensor(-10.1996)	tensor(-13.1053)	tensor(-10.8187)	tensor(-9.9939)	tensor(-10.4873)	tensor(-13.1375)	tensor(-10.4355)	tensor(-9.0644)	tensor(-10.4002)	tensor(-10.6569)	tensor(-10.1397)	tensor(-9.9810)	tensor(-9.0120)	tensor(-9.9539)	tensor(-10.4603)	tensor(-11.2666)	tensor(-11.1204)	tensor(-10.4133)	tensor(-8.7585)	tensor(-6.7428)	tensor(-6.7982)	
tensor(-10.9011)	tensor(-9.5744)	tensor(-10.7600)	tensor(-11.2581)	tensor(-10.8264)	tensor(-11.3947)	tensor(-11.2946)	tensor(-11.6952)	tensor(-11.6458)	tensor(-13.0123)	tensor(-11.4456)	tensor(-10.9759)	tensor(-9.7888)	tensor(-10.0576)	tensor(-10.5197)	tensor(-9.8831)	tensor(-9.8836)	tensor(-9.4898)	tensor(-10.3978)	tensor(-10.7004)	tensor(-12.9172)	tensor(-10.9579)	tensor(-10.6680)	tensor(-10.8389)	tensor(-12.6519)	tensor(-10.4762)	tensor(-9.9638)	tensor(-10.6015)	tensor(-10.3879)	tensor(-10.0579)	tensor(-10.0963)	tensor(-9.5789)	tensor(-10.6819)	tensor(-10.1499)	tensor(-11.8485)	tensor(-11.5030)	tensor(-10.5817)	tensor(-9.3977)	tensor(-6.7907)	tensor(-6.7643)	
tensor(-11.1280)	tensor(-11.3977)	tensor(-11.6794)	tensor(-11.9410)	tensor(-11.5999)	tensor(-11.6129)	tensor(-11.7189)	tensor(-12.0714)	tensor(-12.5474)	tensor(-12.9407)	tensor(-11.4227)	tensor(-10.8837)	tensor(-9.5120)	tensor(-10.3254)	tensor(-12.6633)	tensor(-11.6978)	tensor(-11.1254)	tensor(-10.2730)	tensor(-10.0829)	tensor(-11.1166)	tensor(-12.4522)	tensor(-11.6303)	tensor(-10.5188)	tensor(-11.6892)	tensor(-14.2558)	tensor(-11.0166)	tensor(-10.1429)	tensor(-10.9570)	tensor(-10.9133)	tensor(-10.8431)	tensor(-10.4124)	tensor(-10.3619)	tensor(-11.3267)	tensor(-10.6047)	tensor(-10.8290)	tensor(-12.3846)	tensor(-10.5489)	tensor(-10.9219)	tensor(-9.5833)	tensor(-11.0989)	
tensor(-10.3270)	tensor(-9.9376)	tensor(-10.1885)	tensor(-11.2962)	tensor(-11.5164)	tensor(-10.9239)	tensor(-9.9768)	tensor(-10.6425)	tensor(-10.3767)	tensor(-12.6148)	tensor(-10.5073)	tensor(-10.1794)	tensor(-8.8854)	tensor(-9.4905)	tensor(-9.7148)	tensor(-8.8734)	tensor(-9.5442)	tensor(-8.6851)	tensor(-9.0598)	tensor(-9.8182)	tensor(-12.2743)	tensor(-10.6756)	tensor(-9.4429)	tensor(-10.9088)	tensor(-12.9905)	tensor(-11.2513)	tensor(-8.6836)	tensor(-9.9066)	tensor(-9.7520)	tensor(-10.5258)	tensor(-9.8800)	tensor(-8.7606)	tensor(-9.7990)	tensor(-9.7384)	tensor(-11.3691)	tensor(-10.7028)	tensor(-10.1496)	tensor(-8.8350)	tensor(-6.7371)	tensor(-5.7371)	
tensor(-11.9482)	tensor(-11.7646)	tensor(-12.5411)	tensor(-12.3888)	tensor(-12.2526)	tensor(-12.6130)	tensor(-11.9257)	tensor(-12.7594)	tensor(-13.4041)	tensor(-14.2238)	tensor(-12.1994)	tensor(-11.1525)	tensor(-11.4573)	tensor(-11.8594)	tensor(-13.0694)	tensor(-13.0588)	tensor(-11.1547)	tensor(-11.3489)	tensor(-11.5691)	tensor(-11.6565)	tensor(-15.2760)	tensor(-12.6269)	tensor(-11.2892)	tensor(-11.9142)	tensor(-14.6360)	tensor(-12.0198)	tensor(-11.0469)	tensor(-11.2342)	tensor(-11.2697)	tensor(-11.6467)	tensor(-11.3711)	tensor(-11.2348)	tensor(-12.0585)	tensor(-11.2879)	tensor(-12.6673)	tensor(-12.8761)	tensor(-12.0308)	tensor(-12.1996)	tensor(-12.0952)	tensor(-13.3315)	
tensor(-9.6944)	tensor(-10.6808)	tensor(-10.7323)	tensor(-10.5967)	tensor(-10.4587)	tensor(-9.9167)	tensor(-9.1722)	tensor(-9.8364)	tensor(-10.0393)	tensor(-12.0524)	tensor(-9.2495)	tensor(-8.8297)	tensor(-7.4940)	tensor(-8.2688)	tensor(-10.4067)	tensor(-8.8747)	tensor(-7.4141)	tensor(-8.6208)	tensor(-7.9481)	tensor(-9.8719)	tensor(-11.6070)	tensor(-10.4230)	tensor(-8.9894)	tensor(-10.5813)	tensor(-12.6616)	tensor(-10.3261)	tensor(-8.8832)	tensor(-9.7241)	tensor(-9.9772)	tensor(-9.5563)	tensor(-8.7415)	tensor(-3.1383)	tensor(-8.0532)	tensor(-6.9012)	tensor(-10.7017)	tensor(-10.1409)	tensor(-9.3467)	tensor(-10.4076)	tensor(-9.7462)	tensor(-10.1391)	
tensor(-8.8318)	tensor(-9.5302)	tensor(-9.2421)	tensor(-10.3045)	tensor(-9.3574)	tensor(-8.9219)	tensor(-8.5699)	tensor(-8.8577)	tensor(-9.1192)	tensor(-10.2109)	tensor(-7.8909)	tensor(-6.1538)	tensor(-5.6078)	tensor(-6.0460)	tensor(-10.2518)	tensor(-6.7696)	tensor(-4.9279)	tensor(-8.0816)	tensor(-7.3416)	tensor(-8.5083)	tensor(-11.0745)	tensor(-9.9158)	tensor(-8.3949)	tensor(-9.5808)	tensor(-11.3599)	tensor(-9.0098)	tensor(-7.6618)	tensor(-8.2768)	tensor(-8.2628)	tensor(-8.3640)	tensor(-4.2743)	tensor(-0.3904)	tensor(-3.8696)	tensor(-2.1638)	tensor(-9.2679)	tensor(-7.1034)	tensor(-7.1188)	tensor(-10.1340)	tensor(-9.1633)	tensor(-10.3737)	
tensor(-4.1058)	tensor(-2.7624)	tensor(-5.1974)	tensor(-2.3143)	tensor(-2.4281)	tensor(-9.5102)	tensor(-9.1713)	tensor(-9.9007)	tensor(-10.1366)	tensor(-11.7331)	tensor(-10.1893)	tensor(-8.6087)	tensor(-7.4926)	tensor(-8.3710)	tensor(-10.9679)	tensor(-9.3436)	tensor(-7.2372)	tensor(-5.9156)	tensor(-5.9770)	tensor(-3.0269)	tensor(-10.8499)	tensor(-8.9447)	tensor(-3.9368)	tensor(-1.5285)	tensor(-2.8637)	tensor(-1.3991)	tensor(-3.0775)	tensor(-3.2533)	tensor(-1.3172)	tensor(-1.5286)	tensor(-7.6538)	tensor(-6.0804)	tensor(-8.4744)	tensor(-8.2781)	tensor(-9.7065)	tensor(-9.0962)	tensor(-8.4332)	tensor(-9.0445)	tensor(-8.0999)	tensor(-10.5210)	
tensor(-3.8135)	tensor(-2.6990)	tensor(-4.4818)	tensor(-1.8706)	tensor(-1.8638)	tensor(-9.1080)	tensor(-8.9934)	tensor(-10.4360)	tensor(-10.0219)	tensor(-11.6679)	tensor(-9.5980)	tensor(-8.1852)	tensor(-8.0647)	tensor(-8.2608)	tensor(-10.5840)	tensor(-8.9980)	tensor(-6.8848)	tensor(-6.1927)	tensor(-5.8519)	tensor(-3.7549)	tensor(-10.1750)	tensor(-8.4360)	tensor(-3.5493)	tensor(-1.0957)	tensor(-2.6945)	tensor(-1.1325)	tensor(-4.5593)	tensor(-4.5555)	tensor(-2.3652)	tensor(-2.4332)	tensor(-8.3564)	tensor(-6.7847)	tensor(-9.5980)	tensor(-8.5717)	tensor(-9.7043)	tensor(-8.4348)	tensor(-8.8348)	tensor(-9.3951)	tensor(-8.0598)	tensor(-9.6293)	
tensor(-11.0512)	tensor(-11.1266)	tensor(-10.3543)	tensor(-11.5391)	tensor(-10.7158)	tensor(-11.3525)	tensor(-10.7433)	tensor(-11.2217)	tensor(-10.9476)	tensor(-11.6916)	tensor(-10.5405)	tensor(-10.4885)	tensor(-8.1417)	tensor(-6.7038)	tensor(-11.3869)	tensor(-10.6845)	tensor(-8.8080)	tensor(-10.0575)	tensor(-9.5299)	tensor(-10.3354)	tensor(-11.5442)	tensor(-11.1527)	tensor(-10.0923)	tensor(-10.8863)	tensor(-12.4350)	tensor(-10.0860)	tensor(-9.8508)	tensor(-10.2348)	tensor(-10.5701)	tensor(-9.5943)	tensor(-10.6523)	tensor(-9.1254)	tensor(-10.9053)	tensor(-9.7965)	tensor(-12.2802)	tensor(-10.5942)	tensor(-9.9852)	tensor(-12.0551)	tensor(-10.9735)	tensor(-12.1969)	
tensor(-8.3605)	tensor(-8.4739)	tensor(-8.7820)	tensor(-9.8508)	tensor(-9.7093)	tensor(-8.7220)	tensor(-5.9921)	tensor(-8.7159)	tensor(-9.5789)	tensor(-10.4660)	tensor(-8.3582)	tensor(-7.9237)	tensor(-6.8244)	tensor(-6.8513)	tensor(-8.9902)	tensor(-8.6286)	tensor(-5.5424)	tensor(-7.8598)	tensor(-7.1545)	tensor(-9.1313)	tensor(-10.3763)	tensor(-8.8473)	tensor(-8.1027)	tensor(-9.2590)	tensor(-11.6489)	tensor(-9.4071)	tensor(-8.1968)	tensor(-8.2838)	tensor(-8.8947)	tensor(-8.9694)	tensor(-7.8751)	tensor(-6.8388)	tensor(-8.9447)	tensor(-7.7000)	tensor(-8.5896)	tensor(-9.0066)	tensor(-8.3653)	tensor(-8.8503)	tensor(-9.0398)	tensor(-10.3760)	
tensor(-9.4838)	tensor(-9.7879)	tensor(-10.0158)	tensor(-10.7842)	tensor(-10.5554)	tensor(-9.9831)	tensor(-8.8190)	tensor(-9.4664)	tensor(-8.6217)	tensor(-9.9340)	tensor(-7.8177)	tensor(-8.8732)	tensor(-5.1652)	tensor(-5.4294)	tensor(-8.2352)	tensor(-1.8771)	tensor(-6.2527)	tensor(-8.0172)	tensor(-6.8575)	tensor(-9.0545)	tensor(-11.1581)	tensor(-9.7454)	tensor(-8.9136)	tensor(-10.3660)	tensor(-12.5854)	tensor(-10.4493)	tensor(-8.6151)	tensor(-9.0533)	tensor(-9.9670)	tensor(-9.5559)	tensor(-8.7373)	tensor(-6.4302)	tensor(-9.3054)	tensor(-7.1142)	tensor(-9.9177)	tensor(-9.0075)	tensor(-9.1334)	tensor(-8.7549)	tensor(-7.3095)	tensor(-6.1373)	
tensor(-9.3169)	tensor(-10.2383)	tensor(-9.5833)	tensor(-10.7850)	tensor(-9.9699)	tensor(-8.5582)	tensor(-7.7091)	tensor(-6.0057)	tensor(-7.1137)	tensor(-9.2506)	tensor(-6.0151)	tensor(-8.1786)	tensor(-3.0166)	tensor(-5.0306)	tensor(-9.5623)	tensor(-7.5696)	tensor(-4.6085)	tensor(-7.8841)	tensor(-6.6992)	tensor(-9.2634)	tensor(-11.2360)	tensor(-9.5985)	tensor(-8.1057)	tensor(-10.4906)	tensor(-12.3777)	tensor(-10.1163)	tensor(-7.9888)	tensor(-9.8401)	tensor(-10.0206)	tensor(-9.7543)	tensor(-7.5017)	tensor(-5.5880)	tensor(-7.3926)	tensor(-6.1818)	tensor(-9.5774)	tensor(-7.8416)	tensor(-7.5273)	tensor(-10.1629)	tensor(-8.9055)	tensor(-9.5785)	
tensor(-11.2229)	tensor(-11.1939)	tensor(-11.7426)	tensor(-11.8879)	tensor(-11.3962)	tensor(-11.2543)	tensor(-10.6055)	tensor(-10.9675)	tensor(-10.8096)	tensor(-12.2606)	tensor(-11.4395)	tensor(-10.5794)	tensor(-6.7019)	tensor(-9.0957)	tensor(-11.1668)	tensor(-11.1867)	tensor(-8.8492)	tensor(-9.0306)	tensor(-8.7517)	tensor(-9.5428)	tensor(-12.3711)	tensor(-10.8640)	tensor(-11.0501)	tensor(-10.7599)	tensor(-12.4706)	tensor(-10.6990)	tensor(-9.7752)	tensor(-9.6767)	tensor(-9.7279)	tensor(-10.2632)	tensor(-10.6794)	tensor(-8.7944)	tensor(-11.3223)	tensor(-10.3508)	tensor(-12.1603)	tensor(-11.3127)	tensor(-10.2739)	tensor(-11.1007)	tensor(-10.3035)	tensor(-11.7089)	
tensor(-11.2538)	tensor(-11.1408)	tensor(-11.6136)	tensor(-12.1293)	tensor(-12.0890)	tensor(-11.1372)	tensor(-9.6934)	tensor(-11.2476)	tensor(-10.3773)	tensor(-11.7997)	tensor(-10.5013)	tensor(-10.5839)	tensor(-6.7503)	tensor(-9.2339)	tensor(-10.4057)	tensor(-11.3190)	tensor(-8.3878)	tensor(-9.2139)	tensor(-9.3127)	tensor(-9.9455)	tensor(-11.5723)	tensor(-10.8781)	tensor(-10.5654)	tensor(-11.3041)	tensor(-13.3372)	tensor(-11.4275)	tensor(-9.9066)	tensor(-10.0170)	tensor(-10.5103)	tensor(-10.6556)	tensor(-10.0870)	tensor(-8.5410)	tensor(-10.7584)	tensor(-10.0896)	tensor(-12.3034)	tensor(-11.1030)	tensor(-10.5366)	tensor(-10.6210)	tensor(-10.7505)	tensor(-12.1551)	
