tensor(-9.5712)	tensor(-10.4956)	tensor(-9.7523)	tensor(-11.0525)	tensor(-11.1240)	tensor(-10.4823)	tensor(-9.3108)	tensor(-10.0349)	tensor(-9.4924)	tensor(-12.7552)	tensor(-10.6403)	tensor(-10.0579)	tensor(-5.2907)	tensor(-8.3631)	tensor(-10.2004)	tensor(-9.3075)	tensor(-8.4062)	tensor(-8.7029)	tensor(-8.1946)	tensor(-9.4592)	tensor(-11.9900)	tensor(-10.2035)	tensor(-9.7195)	tensor(-10.5066)	tensor(-13.4087)	tensor(-10.5114)	tensor(-9.1116)	tensor(-9.6639)	tensor(-9.4183)	tensor(-9.8656)	tensor(-9.6429)	tensor(-7.9056)	tensor(-10.1889)	tensor(-9.9951)	tensor(-11.6910)	tensor(-10.9355)	tensor(-9.5610)	tensor(-10.9995)	tensor(-9.4439)	tensor(-11.2620)	
tensor(-10.3561)	tensor(-10.9087)	tensor(-10.8271)	tensor(-11.2743)	tensor(-11.1774)	tensor(-10.8654)	tensor(-9.6454)	tensor(-10.8189)	tensor(-10.8898)	tensor(-12.7670)	tensor(-10.6530)	tensor(-10.0224)	tensor(-6.4928)	tensor(-9.6678)	tensor(-10.4778)	tensor(-9.9974)	tensor(-8.2697)	tensor(-8.5691)	tensor(-8.5443)	tensor(-9.1569)	tensor(-11.8555)	tensor(-10.0048)	tensor(-10.4197)	tensor(-10.4262)	tensor(-13.1769)	tensor(-10.4170)	tensor(-9.4515)	tensor(-9.5808)	tensor(-9.8198)	tensor(-9.7774)	tensor(-10.0998)	tensor(-8.3015)	tensor(-10.7134)	tensor(-9.9608)	tensor(-11.4127)	tensor(-10.8471)	tensor(-9.9764)	tensor(-10.8846)	tensor(-9.4829)	tensor(-11.8310)	
tensor(-8.4569)	tensor(-9.7267)	tensor(-9.2094)	tensor(-9.6520)	tensor(-9.7653)	tensor(-9.0269)	tensor(-8.8193)	tensor(-9.2762)	tensor(-8.6581)	tensor(-10.8790)	tensor(-8.3796)	tensor(-9.1416)	tensor(-4.1693)	tensor(-7.3283)	tensor(-9.5147)	tensor(-8.3444)	tensor(-7.0305)	tensor(-7.6016)	tensor(-6.2610)	tensor(-8.5171)	tensor(-10.5758)	tensor(-8.5716)	tensor(-8.3944)	tensor(-9.1920)	tensor(-12.2591)	tensor(-9.0518)	tensor(-8.0334)	tensor(-8.1054)	tensor(-8.1551)	tensor(-8.6321)	tensor(-8.3913)	tensor(-6.9024)	tensor(-9.3611)	tensor(-8.3171)	tensor(-10.4577)	tensor(-8.9438)	tensor(-7.9418)	tensor(-9.4795)	tensor(-8.3975)	tensor(-10.6196)	
tensor(-10.2256)	tensor(-11.1309)	tensor(-10.5020)	tensor(-11.5075)	tensor(-11.9841)	tensor(-11.1778)	tensor(-8.5687)	tensor(-10.6993)	tensor(-10.6870)	tensor(-12.8707)	tensor(-10.3035)	tensor(-7.9832)	tensor(-8.3185)	tensor(-8.4796)	tensor(-8.8237)	tensor(-10.6496)	tensor(-6.6058)	tensor(-9.1023)	tensor(-9.5107)	tensor(-11.0711)	tensor(-13.0280)	tensor(-11.2495)	tensor(-9.7008)	tensor(-11.6404)	tensor(-14.4105)	tensor(-11.5893)	tensor(-8.8168)	tensor(-10.3952)	tensor(-11.1115)	tensor(-10.5645)	tensor(-9.9000)	tensor(-7.6099)	tensor(-8.2295)	tensor(-8.3870)	tensor(-11.4462)	tensor(-9.9349)	tensor(-9.1064)	tensor(-11.1726)	tensor(-10.7209)	tensor(-11.3334)	
tensor(-7.8745)	tensor(-8.8425)	tensor(-8.1557)	tensor(-9.2654)	tensor(-9.4743)	tensor(-7.0298)	tensor(-6.2778)	tensor(-6.2486)	tensor(-6.4557)	tensor(-5.0493)	tensor(-4.8577)	tensor(-5.8680)	tensor(-1.8375)	tensor(0.1634)	tensor(-7.1192)	tensor(-6.5357)	tensor(-4.1413)	tensor(-6.8216)	tensor(-5.0897)	tensor(-7.4988)	tensor(-10.8132)	tensor(-8.1643)	tensor(-7.3676)	tensor(-8.5566)	tensor(-12.0825)	tensor(-8.9381)	tensor(-6.5686)	tensor(-7.3491)	tensor(-8.3839)	tensor(-8.1892)	tensor(-6.1620)	tensor(-3.9455)	tensor(-5.6559)	tensor(-3.6078)	tensor(-8.5612)	tensor(-5.4679)	tensor(-4.6557)	tensor(-9.4679)	tensor(-8.1226)	tensor(-8.8174)	
tensor(-9.3318)	tensor(-9.7773)	tensor(-9.1411)	tensor(-10.1959)	tensor(-10.5122)	tensor(-8.5429)	tensor(-8.2092)	tensor(-8.9049)	tensor(-8.1426)	tensor(-8.9766)	tensor(-7.0368)	tensor(-6.9755)	tensor(-5.1924)	tensor(-6.1750)	tensor(-9.6042)	tensor(-6.3421)	tensor(-4.8345)	tensor(-7.8941)	tensor(-6.9529)	tensor(-8.7809)	tensor(-12.1134)	tensor(-10.0603)	tensor(-8.6065)	tensor(-9.5355)	tensor(-12.4833)	tensor(-9.6046)	tensor(-7.6177)	tensor(-8.6665)	tensor(-8.9839)	tensor(-8.4533)	tensor(-4.0010)	tensor(-1.9372)	tensor(-5.0114)	tensor(-1.8969)	tensor(-5.6294)	tensor(-0.3253)	tensor(-3.2996)	tensor(-10.4889)	tensor(-9.8596)	tensor(-11.0222)	
tensor(-4.3521)	tensor(-1.9007)	tensor(-4.1431)	tensor(-4.0650)	tensor(-2.8824)	tensor(-8.7561)	tensor(-8.1420)	tensor(-9.2423)	tensor(-8.4167)	tensor(-11.9000)	tensor(-9.1153)	tensor(-7.5022)	tensor(-7.0470)	tensor(-8.0678)	tensor(-8.9775)	tensor(-8.4278)	tensor(-5.4690)	tensor(-4.3758)	tensor(-5.2233)	tensor(-2.1525)	tensor(-9.5534)	tensor(-7.2206)	tensor(-3.8371)	tensor(-3.0313)	tensor(-5.4381)	tensor(-1.9929)	tensor(-2.5486)	tensor(-1.2511)	tensor(-0.1292)	tensor(0.0731)	tensor(-8.2513)	tensor(-6.4815)	tensor(-8.0894)	tensor(-8.0373)	tensor(-9.4130)	tensor(-8.5418)	tensor(-8.1837)	tensor(-7.7580)	tensor(-7.1396)	tensor(-8.9277)	
tensor(-11.1736)	tensor(-11.7580)	tensor(-11.1045)	tensor(-12.4475)	tensor(-12.1072)	tensor(-12.3768)	tensor(-11.2364)	tensor(-11.9683)	tensor(-11.3973)	tensor(-13.5717)	tensor(-12.1382)	tensor(-12.0200)	tensor(-10.4805)	tensor(-11.4279)	tensor(-10.9646)	tensor(-10.4713)	tensor(-10.0802)	tensor(-9.3003)	tensor(-10.1937)	tensor(-11.1286)	tensor(-13.4495)	tensor(-10.6396)	tensor(-10.7408)	tensor(-11.8185)	tensor(-14.6253)	tensor(-11.7893)	tensor(-10.1249)	tensor(-11.0020)	tensor(-11.1432)	tensor(-10.9191)	tensor(-10.9580)	tensor(-10.4055)	tensor(-11.3726)	tensor(-10.6458)	tensor(-12.6808)	tensor(-12.7168)	tensor(-10.9936)	tensor(-9.2145)	tensor(-4.8391)	tensor(-7.0746)	
tensor(-9.1672)	tensor(-9.7058)	tensor(-9.5369)	tensor(-10.4965)	tensor(-10.2829)	tensor(-11.0219)	tensor(-9.5536)	tensor(-9.9980)	tensor(-10.3526)	tensor(-12.8652)	tensor(-10.3927)	tensor(-10.1560)	tensor(-8.7202)	tensor(-9.4406)	tensor(-9.6964)	tensor(-8.7601)	tensor(-8.5352)	tensor(-7.5829)	tensor(-8.5442)	tensor(-9.3851)	tensor(-12.0894)	tensor(-9.1934)	tensor(-8.6126)	tensor(-9.8876)	tensor(-12.7456)	tensor(-9.8202)	tensor(-7.9931)	tensor(-8.8297)	tensor(-9.3397)	tensor(-8.9994)	tensor(-9.5687)	tensor(-9.0668)	tensor(-9.8191)	tensor(-9.5781)	tensor(-10.8828)	tensor(-10.3725)	tensor(-9.5430)	tensor(-7.2265)	tensor(-3.0240)	tensor(-5.3049)	
tensor(-8.9149)	tensor(-9.1836)	tensor(-8.9413)	tensor(-9.5778)	tensor(-9.8218)	tensor(-8.9914)	tensor(-9.2653)	tensor(-10.1270)	tensor(-9.5099)	tensor(-11.1717)	tensor(-9.0442)	tensor(-9.0180)	tensor(-7.4359)	tensor(-8.5846)	tensor(-8.3342)	tensor(-7.4369)	tensor(-7.7790)	tensor(-7.3203)	tensor(-7.3055)	tensor(-7.8422)	tensor(-10.8389)	tensor(-8.7216)	tensor(-8.4567)	tensor(-9.0628)	tensor(-11.3723)	tensor(-9.1378)	tensor(-7.8615)	tensor(-7.2677)	tensor(-8.2066)	tensor(-8.2920)	tensor(-8.4964)	tensor(-7.4661)	tensor(-9.3651)	tensor(-8.3772)	tensor(-9.8644)	tensor(-9.6143)	tensor(-8.3341)	tensor(-8.0418)	tensor(-5.3646)	tensor(-5.2274)	
tensor(-8.4621)	tensor(-8.8581)	tensor(-8.4124)	tensor(-9.7700)	tensor(-9.7786)	tensor(-9.4630)	tensor(-8.4563)	tensor(-9.2403)	tensor(-8.8296)	tensor(-11.6736)	tensor(-9.2397)	tensor(-8.8736)	tensor(-7.3243)	tensor(-8.4261)	tensor(-8.4636)	tensor(-7.8331)	tensor(-7.3723)	tensor(-6.4339)	tensor(-7.5348)	tensor(-8.2536)	tensor(-11.1361)	tensor(-8.7434)	tensor(-7.8896)	tensor(-9.0936)	tensor(-11.8701)	tensor(-9.2696)	tensor(-7.6107)	tensor(-7.8782)	tensor(-8.2364)	tensor(-8.0207)	tensor(-8.1127)	tensor(-7.6789)	tensor(-9.1634)	tensor(-8.4887)	tensor(-9.6994)	tensor(-9.6997)	tensor(-9.0025)	tensor(-6.0213)	tensor(-4.6023)	tensor(-5.1795)	
