tensor(-4.5979)	tensor(-2.9056)	tensor(-5.6760)	tensor(-4.8723)	tensor(-2.5192)	tensor(-9.8932)	tensor(-10.6612)	tensor(-11.0658)	tensor(-10.2140)	tensor(-11.8152)	tensor(-11.0891)	tensor(-9.4059)	tensor(-8.3527)	tensor(-8.7528)	tensor(-10.2604)	tensor(-10.5464)	tensor(-8.9887)	tensor(-7.8204)	tensor(-8.1630)	tensor(-5.1687)	tensor(-11.0718)	tensor(-9.4217)	tensor(-6.5642)	tensor(-4.1551)	tensor(-4.7389)	tensor(-2.9499)	tensor(-5.9144)	tensor(-5.1360)	tensor(-3.9830)	tensor(-3.9366)	tensor(-9.0168)	tensor(-7.9003)	tensor(-9.2021)	tensor(-9.0816)	tensor(-10.4804)	tensor(-9.5283)	tensor(-9.1498)	tensor(-10.9005)	tensor(-8.7946)	tensor(-11.1415)	
tensor(-7.4963)	tensor(-5.2459)	tensor(-6.8553)	tensor(-7.4135)	tensor(-6.0802)	tensor(-10.8899)	tensor(-11.6880)	tensor(-11.7874)	tensor(-12.4291)	tensor(-12.9123)	tensor(-11.8317)	tensor(-11.0030)	tensor(-9.8036)	tensor(-10.6311)	tensor(-12.3567)	tensor(-12.1382)	tensor(-10.2402)	tensor(-8.4279)	tensor(-9.4151)	tensor(-5.2872)	tensor(-11.9656)	tensor(-10.9344)	tensor(-7.7146)	tensor(-4.8987)	tensor(-7.5255)	tensor(-4.6143)	tensor(-4.6660)	tensor(-3.1874)	tensor(-2.7250)	tensor(-0.8971)	tensor(-10.1283)	tensor(-9.7722)	tensor(-10.8100)	tensor(-10.3972)	tensor(-12.1019)	tensor(-10.5412)	tensor(-10.3556)	tensor(-12.2568)	tensor(-10.2178)	tensor(-11.8953)	
tensor(-9.7503)	tensor(-9.0956)	tensor(-9.9871)	tensor(-10.5756)	tensor(-10.8633)	tensor(-9.8788)	tensor(-9.4696)	tensor(-10.0929)	tensor(-10.5896)	tensor(-11.4908)	tensor(-10.5142)	tensor(-9.9240)	tensor(-8.1683)	tensor(-9.3880)	tensor(-9.5726)	tensor(-10.2594)	tensor(-8.7270)	tensor(-7.5483)	tensor(-9.0539)	tensor(-9.2887)	tensor(-10.9864)	tensor(-9.6708)	tensor(-8.9882)	tensor(-10.3342)	tensor(-11.8808)	tensor(-10.0569)	tensor(-9.0204)	tensor(-9.2576)	tensor(-9.8641)	tensor(-9.1064)	tensor(-9.4374)	tensor(-8.5976)	tensor(-9.2995)	tensor(-9.2499)	tensor(-10.5174)	tensor(-9.6894)	tensor(-8.9962)	tensor(-8.1898)	tensor(-3.7973)	tensor(-5.9759)	
tensor(-9.7503)	tensor(-9.0956)	tensor(-9.9871)	tensor(-10.5756)	tensor(-10.8633)	tensor(-9.8788)	tensor(-9.4696)	tensor(-10.0929)	tensor(-10.5896)	tensor(-11.4908)	tensor(-10.5142)	tensor(-9.9240)	tensor(-8.1683)	tensor(-9.3880)	tensor(-9.5726)	tensor(-10.2594)	tensor(-8.7270)	tensor(-7.5483)	tensor(-9.0539)	tensor(-9.2887)	tensor(-10.9864)	tensor(-9.6708)	tensor(-8.9882)	tensor(-10.3342)	tensor(-11.8808)	tensor(-10.0569)	tensor(-9.0204)	tensor(-9.2576)	tensor(-9.8641)	tensor(-9.1064)	tensor(-9.4374)	tensor(-8.5976)	tensor(-9.2995)	tensor(-9.2499)	tensor(-10.5174)	tensor(-9.6894)	tensor(-8.9962)	tensor(-8.1898)	tensor(-3.7973)	tensor(-5.9082)	
tensor(-11.3165)	tensor(-10.7783)	tensor(-12.2503)	tensor(-11.9349)	tensor(-11.9034)	tensor(-11.3143)	tensor(-12.1373)	tensor(-12.2076)	tensor(-11.5821)	tensor(-12.7769)	tensor(-12.0778)	tensor(-11.3297)	tensor(-10.2966)	tensor(-11.0565)	tensor(-11.0110)	tensor(-11.9840)	tensor(-10.5046)	tensor(-9.7028)	tensor(-11.1138)	tensor(-10.7928)	tensor(-12.7629)	tensor(-11.1713)	tensor(-11.3416)	tensor(-11.1501)	tensor(-13.7351)	tensor(-11.1447)	tensor(-9.9172)	tensor(-11.0741)	tensor(-11.6136)	tensor(-10.6036)	tensor(-10.2740)	tensor(-11.0078)	tensor(-11.1970)	tensor(-10.7615)	tensor(-11.6300)	tensor(-12.1336)	tensor(-11.5007)	tensor(-10.7831)	tensor(-7.7842)	tensor(-10.7583)	
tensor(-9.0386)	tensor(-7.3965)	tensor(-9.7580)	tensor(-9.3969)	tensor(-9.2584)	tensor(-11.9328)	tensor(-11.7491)	tensor(-12.2319)	tensor(-12.7637)	tensor(-13.4023)	tensor(-11.6616)	tensor(-11.8486)	tensor(-10.8017)	tensor(-10.3680)	tensor(-12.4092)	tensor(-12.2974)	tensor(-9.7581)	tensor(-10.3882)	tensor(-10.7883)	tensor(-9.8876)	tensor(-12.8475)	tensor(-12.5349)	tensor(-9.8535)	tensor(-8.8858)	tensor(-10.2670)	tensor(-8.9346)	tensor(-10.3739)	tensor(-10.3070)	tensor(-9.7253)	tensor(-9.1302)	tensor(-11.6568)	tensor(-10.4580)	tensor(-10.6066)	tensor(-11.1753)	tensor(-11.7571)	tensor(-11.1585)	tensor(-11.2360)	tensor(-13.2135)	tensor(-11.4192)	tensor(-13.3886)	
tensor(-8.8429)	tensor(-9.0087)	tensor(-9.3679)	tensor(-10.3299)	tensor(-9.9808)	tensor(-9.3503)	tensor(-7.8968)	tensor(-8.9004)	tensor(-9.0774)	tensor(-9.7874)	tensor(-7.4649)	tensor(-8.1107)	tensor(-6.2988)	tensor(-7.6147)	tensor(-8.5784)	tensor(-9.1187)	tensor(-6.0194)	tensor(-8.9103)	tensor(-7.7034)	tensor(-9.1191)	tensor(-11.5647)	tensor(-10.0315)	tensor(-9.2229)	tensor(-10.7479)	tensor(-11.9344)	tensor(-9.7875)	tensor(-8.5925)	tensor(-9.4977)	tensor(-9.7244)	tensor(-8.7029)	tensor(-7.6366)	tensor(-4.3830)	tensor(-6.5722)	tensor(-6.3083)	tensor(-9.7382)	tensor(-8.5797)	tensor(-8.8070)	tensor(-10.8303)	tensor(-9.0892)	tensor(-10.6639)	
tensor(-11.7101)	tensor(-12.6403)	tensor(-12.2273)	tensor(-13.0334)	tensor(-12.8290)	tensor(-10.6601)	tensor(-11.3093)	tensor(-11.3418)	tensor(-12.3767)	tensor(-12.6135)	tensor(-10.3362)	tensor(-9.2818)	tensor(-9.2809)	tensor(-11.0350)	tensor(-13.0156)	tensor(-11.6964)	tensor(-7.5402)	tensor(-11.4611)	tensor(-10.1595)	tensor(-12.0219)	tensor(-12.5560)	tensor(-12.2282)	tensor(-12.0958)	tensor(-13.2874)	tensor(-14.2595)	tensor(-12.1974)	tensor(-10.6269)	tensor(-11.9481)	tensor(-12.4412)	tensor(-11.7503)	tensor(-8.9499)	tensor(-7.0391)	tensor(-9.3187)	tensor(-4.5263)	tensor(-12.1466)	tensor(-11.6627)	tensor(-11.6896)	tensor(-12.9112)	tensor(-11.0875)	tensor(-12.9952)	
tensor(-12.0353)	tensor(-13.3572)	tensor(-12.3179)	tensor(-13.4662)	tensor(-13.4283)	tensor(-11.8064)	tensor(-13.0061)	tensor(-11.4336)	tensor(-12.2520)	tensor(-12.7539)	tensor(-12.1611)	tensor(-10.5676)	tensor(-5.9309)	tensor(-11.9158)	tensor(-13.0319)	tensor(-12.8295)	tensor(-9.6164)	tensor(-12.3510)	tensor(-12.0756)	tensor(-13.2193)	tensor(-14.4412)	tensor(-13.9647)	tensor(-11.9029)	tensor(-14.1052)	tensor(-15.0031)	tensor(-13.2141)	tensor(-10.9937)	tensor(-12.8166)	tensor(-13.1955)	tensor(-12.4175)	tensor(-10.9475)	tensor(-8.4245)	tensor(-10.2681)	tensor(-4.9309)	tensor(-13.9048)	tensor(-11.6599)	tensor(-12.2103)	tensor(-14.4069)	tensor(-12.1191)	tensor(-14.2937)	
tensor(-7.1584)	tensor(-4.4133)	tensor(-7.1381)	tensor(-5.7510)	tensor(-5.7123)	tensor(-10.0279)	tensor(-10.5318)	tensor(-11.8529)	tensor(-11.1154)	tensor(-12.3639)	tensor(-11.2911)	tensor(-9.4225)	tensor(-8.9857)	tensor(-10.1961)	tensor(-10.9896)	tensor(-11.3375)	tensor(-8.9977)	tensor(-5.5172)	tensor(-6.7656)	tensor(-2.1747)	tensor(-9.8123)	tensor(-5.1934)	tensor(-5.4663)	tensor(0.9521)	tensor(-5.6765)	tensor(-1.5561)	tensor(-5.4817)	tensor(-2.1478)	tensor(-1.5525)	tensor(-2.2396)	tensor(-8.1189)	tensor(-8.3898)	tensor(-8.4800)	tensor(-8.9242)	tensor(-10.9310)	tensor(-10.0427)	tensor(-9.1439)	tensor(-12.1651)	tensor(-10.5043)	tensor(-11.7725)	
tensor(-6.6167)	tensor(-4.6711)	tensor(-6.4510)	tensor(-4.7812)	tensor(-4.1561)	tensor(-9.5192)	tensor(-10.0443)	tensor(-11.2390)	tensor(-10.5072)	tensor(-11.2072)	tensor(-10.7038)	tensor(-9.4298)	tensor(-8.6968)	tensor(-9.1799)	tensor(-10.7882)	tensor(-10.9496)	tensor(-8.4964)	tensor(-6.9494)	tensor(-7.6267)	tensor(-4.1663)	tensor(-10.3211)	tensor(-8.6640)	tensor(-4.9910)	tensor(0.7510)	tensor(-3.8979)	tensor(-0.3930)	tensor(-6.1085)	tensor(-5.1730)	tensor(-4.2412)	tensor(-3.5192)	tensor(-8.3971)	tensor(-8.2520)	tensor(-9.5063)	tensor(-8.9028)	tensor(-9.4623)	tensor(-9.6491)	tensor(-9.7474)	tensor(-10.3842)	tensor(-8.9396)	tensor(-11.2333)	
