tensor(-9.7647)	tensor(-9.4557)	tensor(-10.0305)	tensor(-10.8062)	tensor(-10.7039)	tensor(-8.9956)	tensor(-9.2034)	tensor(-9.9938)	tensor(-9.5969)	tensor(-11.8863)	tensor(-9.5099)	tensor(-3.7977)	tensor(-7.7812)	tensor(-7.5448)	tensor(-10.4661)	tensor(-9.8061)	tensor(-7.6106)	tensor(-9.4500)	tensor(-8.9556)	tensor(-10.0106)	tensor(-12.2742)	tensor(-11.5335)	tensor(-9.7024)	tensor(-10.8989)	tensor(-12.2904)	tensor(-10.4433)	tensor(-9.0716)	tensor(-10.2180)	tensor(-11.0006)	tensor(-9.8458)	tensor(-7.8203)	tensor(-7.2311)	tensor(-6.0057)	tensor(-6.3893)	tensor(-8.8798)	tensor(-9.5367)	tensor(-8.9734)	tensor(-10.9348)	tensor(-9.4078)	tensor(-10.3468)	
tensor(-4.5330)	tensor(-2.4928)	tensor(-5.2077)	tensor(-3.6496)	tensor(-2.7382)	tensor(-9.5794)	tensor(-8.9222)	tensor(-10.5166)	tensor(-10.5804)	tensor(-10.3381)	tensor(-9.7270)	tensor(-9.0054)	tensor(-7.7323)	tensor(-8.5022)	tensor(-10.2652)	tensor(-9.8880)	tensor(-8.1410)	tensor(-6.7495)	tensor(-7.0007)	tensor(-3.8691)	tensor(-10.6150)	tensor(-8.0467)	tensor(-6.2329)	tensor(-3.0752)	tensor(-5.6510)	tensor(-2.2827)	tensor(-5.0175)	tensor(-3.6908)	tensor(-3.2988)	tensor(-1.9034)	tensor(-8.8191)	tensor(-8.1813)	tensor(-8.7878)	tensor(-8.7869)	tensor(-9.4098)	tensor(-9.0279)	tensor(-8.4619)	tensor(-9.9872)	tensor(-8.5960)	tensor(-10.5668)	
tensor(-3.7179)	tensor(-0.3543)	tensor(-4.6208)	tensor(-1.3543)	tensor(-1.3266)	tensor(-9.9753)	tensor(-9.1607)	tensor(-10.2234)	tensor(-9.9834)	tensor(-10.8536)	tensor(-9.7961)	tensor(-9.5095)	tensor(-7.3868)	tensor(-8.4827)	tensor(-10.1902)	tensor(-9.9367)	tensor(-8.0622)	tensor(-6.4012)	tensor(-7.8116)	tensor(-4.0332)	tensor(-10.5353)	tensor(-8.8223)	tensor(-4.9949)	tensor(-2.1083)	tensor(-2.4836)	tensor(-1.7706)	tensor(-5.3163)	tensor(-3.5981)	tensor(-2.2464)	tensor(-2.9777)	tensor(-8.2914)	tensor(-8.1646)	tensor(-8.3770)	tensor(-8.3750)	tensor(-9.0255)	tensor(-9.0216)	tensor(-8.6327)	tensor(-10.0012)	tensor(-8.4764)	tensor(-9.9330)	
tensor(-5.0007)	tensor(-2.8295)	tensor(-4.6991)	tensor(-2.8295)	tensor(-1.8295)	tensor(-9.8547)	tensor(-10.7146)	tensor(-11.2511)	tensor(-10.9488)	tensor(-11.3049)	tensor(-10.5896)	tensor(-9.9954)	tensor(-8.4982)	tensor(-9.2248)	tensor(-11.6628)	tensor(-10.7561)	tensor(-9.0337)	tensor(-6.4462)	tensor(-7.1844)	tensor(-2.1860)	tensor(-10.0446)	tensor(-8.6812)	tensor(-4.1968)	tensor(-2.8295)	tensor(-2.3838)	tensor(0.8845)	tensor(-2.8295)	tensor(-2.8295)	tensor(-2.8295)	tensor(-1.1630)	tensor(-9.0846)	tensor(-7.7660)	tensor(-8.9817)	tensor(-8.4582)	tensor(-9.7806)	tensor(-8.9061)	tensor(-8.4191)	tensor(-10.4445)	tensor(-9.3797)	tensor(-10.7750)	
tensor(-4.9419)	tensor(-2.8035)	tensor(-6.3173)	tensor(-4.5237)	tensor(-3.5919)	tensor(-9.6679)	tensor(-10.0723)	tensor(-10.7409)	tensor(-10.3189)	tensor(-11.2422)	tensor(-9.9112)	tensor(-9.7906)	tensor(-7.5341)	tensor(-8.7547)	tensor(-10.9528)	tensor(-10.8155)	tensor(-8.6125)	tensor(-8.2916)	tensor(-7.4235)	tensor(-6.0189)	tensor(-11.1795)	tensor(-9.2071)	tensor(-6.9233)	tensor(-4.6937)	tensor(-7.3454)	tensor(-4.3289)	tensor(-6.3349)	tensor(-3.6766)	tensor(-6.5296)	tensor(-5.3208)	tensor(-9.5387)	tensor(-8.1795)	tensor(-7.8191)	tensor(-8.1454)	tensor(-10.2198)	tensor(-8.8048)	tensor(-8.6378)	tensor(-10.0688)	tensor(-8.9958)	tensor(-10.5485)	
tensor(-5.8077)	tensor(-3.3196)	tensor(-7.2178)	tensor(-5.3708)	tensor(-4.0990)	tensor(-9.7657)	tensor(-10.3217)	tensor(-10.6201)	tensor(-10.3768)	tensor(-11.8596)	tensor(-10.4145)	tensor(-9.9551)	tensor(-8.7478)	tensor(-9.0257)	tensor(-11.0914)	tensor(-10.7377)	tensor(-9.5714)	tensor(-8.0094)	tensor(-8.3242)	tensor(-6.5359)	tensor(-11.7791)	tensor(-10.3714)	tensor(-7.7295)	tensor(-5.5432)	tensor(-8.4746)	tensor(-5.0997)	tensor(-6.5564)	tensor(-3.7396)	tensor(-7.2545)	tensor(-5.5524)	tensor(-10.0378)	tensor(-8.9176)	tensor(-8.6428)	tensor(-8.5702)	tensor(-10.3216)	tensor(-8.6817)	tensor(-9.4230)	tensor(-11.0477)	tensor(-9.8060)	tensor(-10.9138)	
tensor(-5.0007)	tensor(-2.9703)	tensor(-4.6991)	tensor(-1.9703)	tensor(-2.9703)	tensor(-9.8547)	tensor(-10.7146)	tensor(-11.2511)	tensor(-10.9488)	tensor(-11.3049)	tensor(-10.5896)	tensor(-9.9954)	tensor(-8.4982)	tensor(-9.2248)	tensor(-11.6628)	tensor(-10.7561)	tensor(-9.0337)	tensor(-6.4462)	tensor(-7.1844)	tensor(-2.1860)	tensor(-10.0446)	tensor(-8.6812)	tensor(-4.1968)	tensor(-2.9703)	tensor(-2.3838)	tensor(0.8845)	tensor(-2.9703)	tensor(-2.9703)	tensor(-2.9703)	tensor(-1.1630)	tensor(-9.0846)	tensor(-7.7660)	tensor(-8.9817)	tensor(-8.4582)	tensor(-9.7806)	tensor(-8.9061)	tensor(-8.4191)	tensor(-10.4445)	tensor(-9.3797)	tensor(-10.7750)	
tensor(-3.7179)	tensor(-3.0438)	tensor(-4.6208)	tensor(-2.0438)	tensor(-1.3266)	tensor(-9.9753)	tensor(-9.1607)	tensor(-10.2234)	tensor(-9.9834)	tensor(-10.8536)	tensor(-9.7961)	tensor(-9.5095)	tensor(-7.3868)	tensor(-8.4827)	tensor(-10.1902)	tensor(-9.9367)	tensor(-8.0622)	tensor(-6.4012)	tensor(-7.8116)	tensor(-4.0332)	tensor(-10.5353)	tensor(-8.8223)	tensor(-4.9949)	tensor(-2.1083)	tensor(-2.4836)	tensor(-1.7706)	tensor(-5.3163)	tensor(-3.5981)	tensor(-2.2464)	tensor(-2.9777)	tensor(-8.2914)	tensor(-8.1646)	tensor(-8.3770)	tensor(-8.3750)	tensor(-9.0255)	tensor(-9.0216)	tensor(-8.6327)	tensor(-10.0012)	tensor(-8.4764)	tensor(-9.9330)	
tensor(-5.0007)	tensor(-1.0658)	tensor(-4.6991)	tensor(-2.0658)	tensor(-2.0658)	tensor(-9.8547)	tensor(-10.7146)	tensor(-11.2511)	tensor(-10.9488)	tensor(-11.3049)	tensor(-10.5896)	tensor(-9.9954)	tensor(-8.4982)	tensor(-9.2248)	tensor(-11.6628)	tensor(-10.7561)	tensor(-9.0337)	tensor(-6.4462)	tensor(-7.1844)	tensor(-2.1860)	tensor(-10.0446)	tensor(-8.6812)	tensor(-4.1968)	tensor(-2.0658)	tensor(-2.3838)	tensor(0.8845)	tensor(-2.0658)	tensor(-2.0658)	tensor(-2.0658)	tensor(-1.1630)	tensor(-9.0846)	tensor(-7.7660)	tensor(-8.9817)	tensor(-8.4582)	tensor(-9.7806)	tensor(-8.9061)	tensor(-8.4191)	tensor(-10.4445)	tensor(-9.3797)	tensor(-10.7750)	
tensor(-5.2355)	tensor(-3.2453)	tensor(-6.6631)	tensor(-5.1636)	tensor(-4.2687)	tensor(-10.5900)	tensor(-10.5243)	tensor(-11.7512)	tensor(-10.6649)	tensor(-12.2576)	tensor(-10.9395)	tensor(-11.1709)	tensor(-8.8262)	tensor(-9.4788)	tensor(-11.3966)	tensor(-10.9661)	tensor(-9.5056)	tensor(-9.1656)	tensor(-9.6879)	tensor(-8.1195)	tensor(-12.6271)	tensor(-10.1259)	tensor(-7.9355)	tensor(-6.8033)	tensor(-7.4367)	tensor(-5.7345)	tensor(-7.7097)	tensor(-7.7494)	tensor(-7.2089)	tensor(-7.2398)	tensor(-9.9634)	tensor(-9.6077)	tensor(-9.5723)	tensor(-9.8672)	tensor(-10.7428)	tensor(-9.5906)	tensor(-9.9543)	tensor(-12.1686)	tensor(-10.0520)	tensor(-11.8005)	
tensor(-4.7690)	tensor(-2.0326)	tensor(-4.4032)	tensor(-2.7940)	tensor(-2.2160)	tensor(-9.3812)	tensor(-10.5556)	tensor(-11.6755)	tensor(-10.6015)	tensor(-11.3186)	tensor(-10.9957)	tensor(-9.8814)	tensor(-7.8296)	tensor(-9.3807)	tensor(-12.3002)	tensor(-11.5907)	tensor(-9.6732)	tensor(-5.0423)	tensor(-5.2278)	tensor(-0.4308)	tensor(-8.4515)	tensor(-4.6998)	tensor(-4.5856)	tensor(-3.7940)	tensor(-2.8768)	tensor(-0.0174)	tensor(-4.1892)	tensor(-1.0073)	tensor(-1.5091)	tensor(-2.1645)	tensor(-9.0591)	tensor(-8.4270)	tensor(-9.2125)	tensor(-9.6676)	tensor(-9.9459)	tensor(-9.5042)	tensor(-8.9602)	tensor(-11.3913)	tensor(-9.9193)	tensor(-11.2167)	
